[ 00:00:00.030 -->  00:00:01.127] A SPEAKER_01
[ 00:00:01.448 -->  00:00:06.359] B SPEAKER_01
[ 00:00:07.540 -->  00:00:07.658] D SPEAKER_01
[ 00:00:08.029 -->  00:00:08.265] F SPEAKER_01
[ 00:00:08.654 -->  00:00:09.092] H SPEAKER_01
[ 00:00:09.244 -->  00:00:19.032] I SPEAKER_01
[ 00:00:19.487 -->  00:00:19.605] K SPEAKER_01
[ 00:00:52.782 -->  00:01:20.389] N SPEAKER_01
[ 00:01:20.575 -->  00:01:36.285] O SPEAKER_01
[ 00:01:39.424 -->  00:01:48.284] P SPEAKER_01
[ 00:01:48.655 -->  00:02:04.416] Q SPEAKER_01
[ 00:01:48.908 -->  00:01:49.532] R SPEAKER_02
[ 00:01:49.904 -->  00:01:50.562] S SPEAKER_02
[ 00:02:04.568 -->  00:02:05.969] T SPEAKER_01
[ 00:02:05.969 -->  00:02:06.289] U SPEAKER_02
[ 00:02:06.289 -->  00:02:06.458] V SPEAKER_01
[ 00:02:06.458 -->  00:02:12.162] W SPEAKER_02
[ 00:02:12.314 -->  00:02:14.355] X SPEAKER_02
[ 00:02:14.811 -->  00:02:17.579] Y SPEAKER_02
[ 00:02:17.882 -->  00:02:25.375] Z SPEAKER_02
[ 00:02:25.982 -->  00:02:43.043] AA SPEAKER_02
[ 00:02:43.330 -->  00:03:00.357] AB SPEAKER_02
[ 00:03:00.458 -->  00:03:08.254] AC SPEAKER_02
[ 00:03:08.389 -->  00:03:11.207] AD SPEAKER_02
[ 00:03:11.207 -->  00:03:11.393] AE SPEAKER_01
[ 00:03:11.663 -->  00:03:12.034] AF SPEAKER_02
[ 00:03:12.034 -->  00:03:40.874] AG SPEAKER_01
[ 00:03:41.414 -->  00:03:42.375] AH SPEAKER_01
[ 00:03:42.375 -->  00:03:42.578] AI SPEAKER_02
[ 00:03:42.578 -->  00:03:42.882] AJ SPEAKER_01
[ 00:03:42.882 -->  00:03:42.899] AK SPEAKER_02
[ 00:03:42.899 -->  00:03:42.966] AL SPEAKER_01
[ 00:03:42.966 -->  00:03:48.383] AM SPEAKER_02
[ 00:03:48.788 -->  00:03:52.433] AN SPEAKER_02
[ 00:03:53.007 -->  00:03:57.040] AO SPEAKER_02
[ 00:03:57.107 -->  00:04:13.476] AP SPEAKER_02
[ 00:04:13.746 -->  00:04:22.234] AQ SPEAKER_02
[ 00:04:22.454 -->  00:04:29.946] AR SPEAKER_02
[ 00:04:30.250 -->  00:04:34.283] AS SPEAKER_02
[ 00:04:34.519 -->  00:04:38.181] AT SPEAKER_02
[ 00:04:38.434 -->  00:04:42.417] AU SPEAKER_02
[ 00:04:42.754 -->  00:04:46.770] AV SPEAKER_02
[ 00:04:46.990 -->  00:04:48.576] AW SPEAKER_02
[ 00:04:49.065 -->  00:04:59.174] AX SPEAKER_02
[ 00:04:59.629 -->  00:05:02.903] AY SPEAKER_02
[ 00:05:03.308 -->  00:05:07.510] AZ SPEAKER_02
[ 00:05:07.864 -->  00:05:24.857] BA SPEAKER_02
[ 00:05:25.009 -->  00:05:33.818] BB SPEAKER_02
[ 00:05:34.206 -->  00:05:50.676] BC SPEAKER_02
[ 00:05:51.132 -->  00:05:56.279] BD SPEAKER_02
[ 00:05:56.667 -->  00:06:00.025] BE SPEAKER_02
[ 00:06:00.025 -->  00:06:00.042] BF SPEAKER_01
[ 00:06:00.042 -->  00:06:00.194] BG SPEAKER_02
[ 00:06:00.194 -->  00:06:00.278] BH SPEAKER_01
[ 00:06:00.717 -->  00:06:18.773] BI SPEAKER_01
[ 00:06:19.465 -->  00:06:20.967] BJ SPEAKER_01
[ 00:06:20.967 -->  00:06:30.147] BK SPEAKER_02
[ 00:06:30.602 -->  00:06:36.593] BL SPEAKER_02
[ 00:06:36.846 -->  00:06:38.820] BM SPEAKER_02
[ 00:06:39.293 -->  00:06:46.650] BN SPEAKER_02
[ 00:06:47.427 -->  00:07:00.049] BO SPEAKER_02
[ 00:07:00.302 -->  00:07:06.715] BP SPEAKER_02
[ 00:07:06.833 -->  00:07:12.975] BQ SPEAKER_02
[ 00:07:13.364 -->  00:07:32.280] BR SPEAKER_02
[ 00:07:32.550 -->  00:07:38.102] BS SPEAKER_02
[ 00:07:38.575 -->  00:07:40.701] BT SPEAKER_02
[ 00:07:41.089 -->  00:07:46.574] BU SPEAKER_02
[ 00:07:46.725 -->  00:07:51.349] BV SPEAKER_02
[ 00:07:51.569 -->  00:07:54.809] BW SPEAKER_02
[ 00:07:54.809 -->  00:07:54.876] BX SPEAKER_01
[ 00:07:55.146 -->  00:08:04.275] BY SPEAKER_01
[ 00:08:04.849 -->  00:08:11.093] BZ SPEAKER_02
[ 00:08:11.616 -->  00:08:15.936] CA SPEAKER_02
[ 00:08:16.223 -->  00:08:22.011] CB SPEAKER_02
[ 00:08:22.382 -->  00:08:30.364] CC SPEAKER_02
[ 00:08:30.668 -->  00:08:45.062] CD SPEAKER_02
[ 00:08:45.619 -->  00:08:58.039] CE SPEAKER_02
[ 00:08:58.545 -->  00:09:06.291] CF SPEAKER_02
[ 00:09:06.797 -->  00:09:19.859] CG SPEAKER_02
[ 00:09:20.382 -->  00:09:26.069] CH SPEAKER_02
[ 00:09:26.204 -->  00:09:29.663] CJ SPEAKER_02
[ 00:09:29.916 -->  00:09:46.082] CK SPEAKER_02
[ 00:09:46.386 -->  00:09:49.120] CL SPEAKER_02
[ 00:09:49.120 -->  00:09:49.373] CM SPEAKER_01
[ 00:09:49.373 -->  00:09:49.508] CN SPEAKER_02
[ 00:09:49.508 -->  00:10:04.544] CO SPEAKER_01
[ 00:10:05.134 -->  00:10:13.352] CP SPEAKER_02
[ 00:10:13.673 -->  00:10:15.107] CQ SPEAKER_02
[ 00:10:15.664 -->  00:10:16.710] CR SPEAKER_02
[ 00:10:17.099 -->  00:10:29.991] CS SPEAKER_02
[ 00:10:30.497 -->  00:10:35.492] CT SPEAKER_02
[ 00:10:36.083 -->  00:10:49.684] CU SPEAKER_02
[ 00:10:50.039 -->  00:10:52.283] CV SPEAKER_02
[ 00:10:52.874 -->  00:10:54.949] CW SPEAKER_02
[ 00:10:55.557 -->  00:10:58.155] CX SPEAKER_02
[ 00:10:58.611 -->  00:11:15.030] CY SPEAKER_02
[ 00:11:15.030 -->  00:11:45.777] CZ SPEAKER_01
[ 00:11:46.199 -->  00:11:46.232] DA SPEAKER_01
[ 00:11:46.232 -->  00:11:52.560] DB SPEAKER_02
[ 00:11:52.915 -->  00:11:59.209] DC SPEAKER_02
[ 00:11:59.513 -->  00:12:04.103] DD SPEAKER_02
[ 00:12:04.660 -->  00:12:09.098] DE SPEAKER_02
[ 00:12:09.486 -->  00:12:16.979] DF SPEAKER_02
[ 00:12:17.569 -->  00:12:19.611] DG SPEAKER_02
[ 00:12:19.814 -->  00:12:28.268] DH SPEAKER_02
[ 00:12:29.010 -->  00:12:32.554] DI SPEAKER_02
[ 00:12:33.044 -->  00:12:33.887] DJ SPEAKER_02
[ 00:12:34.444 -->  00:12:38.005] DK SPEAKER_02
[ 00:12:38.579 -->  00:12:42.494] DL SPEAKER_02
[ 00:12:42.780 -->  00:12:44.299] DM SPEAKER_02
