[ 00:00:00.030 -->  00:00:03.726] A SPEAKER_00
[ 00:00:04.485 -->  00:00:07.067] B SPEAKER_00
[ 00:00:07.185 -->  00:00:17.547] C SPEAKER_00
[ 00:00:46.589 -->  00:00:46.605] E SPEAKER_00
[ 00:00:50.858 -->  00:01:01.607] F SPEAKER_00
[ 00:01:01.962 -->  00:01:27.291] G SPEAKER_00
[ 00:01:27.595 -->  00:01:49.769] H SPEAKER_00
[ 00:01:49.853 -->  00:01:50.005] I SPEAKER_00
[ 00:01:52.924 -->  00:02:27.636] K SPEAKER_00
[ 00:02:28.125 -->  00:02:32.682] L SPEAKER_02
[ 00:02:32.834 -->  00:02:47.582] M SPEAKER_00
[ 00:02:47.903 -->  00:07:20.451] N SPEAKER_02
[ 00:07:20.940 -->  00:08:18.147] O SPEAKER_00
[ 00:08:18.855 -->  00:09:05.397] P SPEAKER_02
[ 00:09:06.190 -->  00:10:27.190] Q SPEAKER_02
[ 00:10:27.814 -->  00:10:33.113] R SPEAKER_02
[ 00:10:33.653 -->  00:10:39.812] S SPEAKER_00
[ 00:10:40.437 -->  00:10:41.483] T SPEAKER_02
[ 00:10:41.804 -->  00:11:39.567] U SPEAKER_02
[ 00:11:39.567 -->  00:11:49.844] V SPEAKER_00
[ 00:11:50.316 -->  00:14:04.641] W SPEAKER_02
[ 00:14:04.962 -->  00:16:02.125] X SPEAKER_02
[ 00:16:02.530 -->  00:16:21.464] Y SPEAKER_02
[ 00:16:22.223 -->  00:16:32.078] Z SPEAKER_02
[ 00:16:32.837 -->  00:16:48.244] AA SPEAKER_00
[ 00:16:48.447 -->  00:16:49.544] AB SPEAKER_00
[ 00:16:49.965 -->  00:16:56.969] AC SPEAKER_00
[ 00:16:57.728 -->  00:18:35.468] AD SPEAKER_02
[ 00:18:35.974 -->  00:18:46.217] AE SPEAKER_02
[ 00:18:46.774 -->  00:19:05.691] AF SPEAKER_00
[ 00:19:06.214 -->  00:19:12.745] AG SPEAKER_02
[ 00:19:13.116 -->  00:19:49.364] AH SPEAKER_02
[ 00:19:49.515 -->  00:22:53.959] AI SPEAKER_02
[ 00:20:28.986 -->  00:20:29.509] AJ SPEAKER_00
[ 00:22:54.179 -->  00:23:53.950] AK SPEAKER_02
[ 00:23:54.490 -->  00:24:49.637] AL SPEAKER_02
[ 00:24:49.958 -->  00:25:37.782] AM SPEAKER_02
[ 00:25:38.102 -->  00:26:23.985] AN SPEAKER_02
[ 00:26:24.897 -->  00:26:31.883] AO SPEAKER_02
[ 00:26:32.170 -->  00:26:43.881] AP SPEAKER_02
[ 00:26:44.809 -->  00:26:47.982] AQ SPEAKER_02
[ 00:26:48.842 -->  00:26:52.791] AR SPEAKER_02
[ 00:26:53.247 -->  00:27:00.419] AS SPEAKER_02
[ 00:27:00.520 -->  00:27:15.032] AT SPEAKER_02
[ 00:27:15.454 -->  00:27:19.791] AU SPEAKER_00
[ 00:27:20.534 -->  00:27:23.554] AV SPEAKER_02
[ 00:27:24.229 -->  00:29:34.082] AW SPEAKER_02
[ 00:28:59.809 -->  00:28:59.927] AX SPEAKER_00
[ 00:28:59.978 -->  00:29:00.197] AZ SPEAKER_00
[ 00:29:34.504 -->  00:30:14.802] BA SPEAKER_00
[ 00:30:15.527 -->  00:30:17.434] BB SPEAKER_00
[ 00:30:17.704 -->  00:30:25.534] BC SPEAKER_00
[ 00:30:25.855 -->  00:31:37.337] BD SPEAKER_02
[ 00:31:38.029 -->  00:31:46.821] BE SPEAKER_00
[ 00:31:46.990 -->  00:31:57.452] BF SPEAKER_00
[ 00:31:57.975 -->  00:32:55.739] BG SPEAKER_02
[ 00:32:56.262 -->  00:33:03.872] BH SPEAKER_00
[ 00:33:04.598 -->  00:34:03.660] BI SPEAKER_02
[ 00:34:04.234 -->  00:34:21.582] BJ SPEAKER_00
[ 00:34:22.392 -->  00:34:29.327] BK SPEAKER_02
[ 00:34:29.682 -->  00:34:35.335] BL SPEAKER_02
[ 00:34:35.453 -->  00:34:51.990] BM SPEAKER_02
[ 00:34:52.547 -->  00:35:28.407] BN SPEAKER_00
[ 00:35:28.778 -->  00:35:53.010] BO SPEAKER_02
[ 00:35:53.466 -->  00:36:18.610] BP SPEAKER_00
[ 00:36:19.234 -->  00:36:52.377] BQ SPEAKER_02
[ 00:36:52.512 -->  00:37:38.530] BR SPEAKER_02
[ 00:37:38.969 -->  00:37:48.554] BS SPEAKER_00
[ 00:37:49.262 -->  00:38:29.864] BT SPEAKER_02
[ 00:38:30.539 -->  00:38:35.736] BU SPEAKER_00
[ 00:38:36.563 -->  00:39:25.551] BV SPEAKER_02
[ 00:39:26.057 -->  00:39:42.510] BW SPEAKER_00
[ 00:39:43.219 -->  00:39:58.879] BX SPEAKER_00
[ 00:39:59.520 -->  00:41:34.004] BY SPEAKER_02
[ 00:41:34.223 -->  00:41:42.542] BZ SPEAKER_02
[ 00:41:43.116 -->  00:41:55.232] CA SPEAKER_00
[ 00:41:55.857 -->  00:42:09.340] CB SPEAKER_00
[ 00:42:10.032 -->  00:42:52.067] CC SPEAKER_02
[ 00:42:52.844 -->  00:43:02.243] CD SPEAKER_00
[ 00:43:02.614 -->  00:43:05.618] CE SPEAKER_02
[ 00:43:06.310 -->  00:43:59.770] CF SPEAKER_02
[ 00:44:00.209 -->  00:44:09.000] CG SPEAKER_00
[ 00:44:09.760 -->  00:45:03.051] CH SPEAKER_02
[ 00:45:03.760 -->  00:45:18.525] CI SPEAKER_00
[ 00:45:19.369 -->  00:45:40.379] CJ SPEAKER_02
[ 00:45:40.379 -->  00:45:40.699] CK SPEAKER_00
[ 00:45:40.699 -->  00:45:41.037] CL SPEAKER_02
[ 00:45:41.037 -->  00:45:41.054] CM SPEAKER_00
[ 00:45:41.054 -->  00:45:41.138] CN SPEAKER_02
[ 00:45:41.138 -->  00:45:43.332] CO SPEAKER_00
[ 00:45:43.332 -->  00:45:43.382] CP SPEAKER_02
[ 00:45:43.838 -->  00:45:47.247] CQ SPEAKER_02
