[ 00:00:00.520 -->  00:00:01.026] A SPEAKER_02
[ 00:00:01.330 -->  00:00:01.752] B SPEAKER_02
[ 00:00:02.646 -->  00:00:03.051] C SPEAKER_02
[ 00:00:03.692 -->  00:00:04.047] D SPEAKER_02
[ 00:00:04.705 -->  00:00:05.093] E SPEAKER_02
[ 00:00:05.667 -->  00:00:06.291] F SPEAKER_02
[ 00:00:07.354 -->  00:00:11.573] G SPEAKER_02
[ 00:00:14.543 -->  00:00:24.854] I SPEAKER_02
[ 00:00:53.963 -->  00:00:53.980] K SPEAKER_02
[ 00:00:58.215 -->  00:02:04.770] L SPEAKER_02
[ 00:02:07.724 -->  00:02:13.410] M SPEAKER_02
[ 00:02:13.545 -->  00:02:14.541] N SPEAKER_02
[ 00:02:15.081 -->  00:02:17.579] O SPEAKER_02
[ 00:02:17.579 -->  00:02:17.798] P SPEAKER_01
[ 00:02:17.798 -->  00:02:17.967] Q SPEAKER_02
[ 00:02:17.967 -->  00:02:21.173] R SPEAKER_01
[ 00:02:21.173 -->  00:02:53.286] S SPEAKER_02
[ 00:02:53.927 -->  00:03:20.033] T SPEAKER_02
[ 00:03:20.033 -->  00:03:37.701] U SPEAKER_01
[ 00:03:37.752 -->  00:04:33.186] V SPEAKER_01
[ 00:04:33.540 -->  00:05:14.412] W SPEAKER_01
[ 00:05:14.412 -->  00:05:54.321] X SPEAKER_02
[ 00:05:54.777 -->  00:05:56.025] Y SPEAKER_02
[ 00:05:56.025 -->  00:05:56.279] Z SPEAKER_01
[ 00:05:56.279 -->  00:05:56.363] AA SPEAKER_02
[ 00:05:56.700 -->  00:05:56.751] AB SPEAKER_02
[ 00:05:56.751 -->  00:06:49.182] AC SPEAKER_01
[ 00:06:49.637 -->  00:06:51.527] AD SPEAKER_01
[ 00:06:51.780 -->  00:07:16.013] AE SPEAKER_01
[ 00:07:16.418 -->  00:08:11.177] AF SPEAKER_01
[ 00:08:12.105 -->  00:08:12.966] AG SPEAKER_01
[ 00:08:12.966 -->  00:08:35.039] AH SPEAKER_02
[ 00:08:35.039 -->  00:09:04.148] AI SPEAKER_01
[ 00:09:04.553 -->  00:09:20.669] AJ SPEAKER_02
[ 00:09:21.023 -->  00:09:21.074] AK SPEAKER_02
[ 00:09:21.074 -->  00:10:42.968] AL SPEAKER_01
[ 00:10:42.968 -->  00:10:47.490] AM SPEAKER_02
[ 00:10:48.098 -->  00:11:17.460] AN SPEAKER_02
[ 00:11:17.612 -->  00:11:19.975] AO SPEAKER_02
[ 00:11:19.975 -->  00:11:19.992] AP SPEAKER_01
[ 00:11:19.992 -->  00:11:20.009] AQ SPEAKER_02
[ 00:11:20.009 -->  00:11:20.684] AR SPEAKER_01
[ 00:11:20.920 -->  00:12:54.981] AS SPEAKER_01
[ 00:12:55.386 -->  00:13:59.511] AT SPEAKER_01
[ 00:13:59.511 -->  00:14:10.767] AU SPEAKER_02
[ 00:14:10.885 -->  00:15:05.121] AV SPEAKER_01
[ 00:15:05.661 -->  00:15:09.272] AW SPEAKER_01
[ 00:15:09.795 -->  00:15:11.736] AX SPEAKER_01
[ 00:15:11.972 -->  00:16:28.129] AY SPEAKER_01
[ 00:16:28.382 -->  00:16:28.399] AZ SPEAKER_01
[ 00:16:28.399 -->  00:16:37.731] BA SPEAKER_02
[ 00:16:37.934 -->  00:16:52.834] BB SPEAKER_02
[ 00:16:52.834 -->  00:18:38.202] BC SPEAKER_01
[ 00:18:38.742 -->  00:18:38.775] BD SPEAKER_01
[ 00:18:38.775 -->  00:18:41.003] BE SPEAKER_02
[ 00:18:41.189 -->  00:19:09.269] BF SPEAKER_02
[ 00:19:09.420 -->  00:19:39.036] BG SPEAKER_02
[ 00:19:39.036 -->  00:20:03.302] BH SPEAKER_01
[ 00:20:03.690 -->  00:20:04.433] BI SPEAKER_01
[ 00:20:04.889 -->  00:20:08.162] BJ SPEAKER_01
[ 00:20:08.669 -->  00:20:11.689] BK SPEAKER_01
[ 00:20:11.925 -->  00:21:46.324] BL SPEAKER_01
[ 00:21:46.814 -->  00:21:46.847] BM SPEAKER_01
[ 00:21:46.847 -->  00:22:15.754] BN SPEAKER_02
[ 00:22:16.142 -->  00:22:16.159] BO SPEAKER_02
[ 00:22:16.159 -->  00:25:33.580] BP SPEAKER_01
[ 00:25:33.580 -->  00:25:33.630] BR SPEAKER_02
[ 00:25:33.799 -->  00:25:45.055] BS SPEAKER_02
[ 00:25:45.527 -->  00:26:11.262] BT SPEAKER_02
[ 00:26:11.650 -->  00:27:44.159] BU SPEAKER_01
[ 00:27:44.479 -->  00:27:44.969] BV SPEAKER_01
[ 00:27:44.969 -->  00:27:45.070] BW SPEAKER_02
[ 00:27:45.070 -->  00:27:45.120] BX SPEAKER_01
[ 00:27:45.120 -->  00:28:11.024] BY SPEAKER_02
[ 00:28:11.024 -->  00:28:11.040] BZ SPEAKER_01
[ 00:28:11.040 -->  00:28:11.344] CA SPEAKER_02
[ 00:28:11.344 -->  00:28:13.032] CB SPEAKER_01
[ 00:28:13.200 -->  00:30:17.029] CC SPEAKER_01
[ 00:30:17.029 -->  00:30:23.222] CD SPEAKER_02
[ 00:30:23.830 -->  00:30:42.899] CE SPEAKER_02
[ 00:30:43.354 -->  00:30:43.371] CF SPEAKER_02
[ 00:30:43.371 -->  00:32:21.432] CG SPEAKER_01
[ 00:32:22.140 -->  00:32:41.260] CH SPEAKER_02
[ 00:32:41.699 -->  00:32:42.036] CI SPEAKER_02
[ 00:32:42.036 -->  00:32:43.892] CJ SPEAKER_01
[ 00:32:44.449 -->  00:32:45.698] CK SPEAKER_01
[ 00:32:46.440 -->  00:33:23.937] CL SPEAKER_01
[ 00:33:24.224 -->  00:34:05.517] CM SPEAKER_01
[ 00:34:05.517 -->  00:34:05.534] CN SPEAKER_02
[ 00:34:05.534 -->  00:34:05.567] CO SPEAKER_01
[ 00:34:06.074 -->  00:34:06.090] CP SPEAKER_01
[ 00:34:06.090 -->  00:34:36.381] CQ SPEAKER_02
[ 00:34:36.432 -->  00:35:13.118] CR SPEAKER_02
[ 00:35:13.759 -->  00:35:13.793] CS SPEAKER_02
[ 00:35:13.793 -->  00:37:24.017] CT SPEAKER_01
[ 00:37:24.709 -->  00:38:13.022] CU SPEAKER_02
[ 00:38:13.022 -->  00:38:13.613] CV SPEAKER_01
[ 00:38:13.613 -->  00:38:13.832] CW SPEAKER_02
[ 00:38:13.832 -->  00:39:31.643] CX SPEAKER_01
[ 00:39:32.284 -->  00:39:33.989] CY SPEAKER_02
[ 00:39:34.444 -->  00:39:46.139] CZ SPEAKER_02
[ 00:39:46.898 -->  00:39:50.037] DA SPEAKER_02
[ 00:39:50.037 -->  00:39:50.678] DB SPEAKER_01
[ 00:39:50.897 -->  00:41:51.182] DC SPEAKER_01
[ 00:41:51.773 -->  00:41:59.417] DD SPEAKER_02
[ 00:41:59.873 -->  00:42:09.407] DE SPEAKER_02
