[ 00:00:00.030 -->  00:00:04.519] A SPEAKER_01
[ 00:00:07.776 -->  00:00:18.154] D SPEAKER_01
[ 00:00:51.415 -->  00:00:55.718] F SPEAKER_01
[ 00:00:56.207 -->  00:01:05.742] G SPEAKER_01
[ 00:01:06.585 -->  00:01:47.372] H SPEAKER_01
[ 00:01:50.595 -->  00:02:27.282] J SPEAKER_01
[ 00:02:27.788 -->  00:02:42.689] K SPEAKER_02
[ 00:02:43.026 -->  00:02:53.067] L SPEAKER_02
[ 00:02:53.337 -->  00:02:56.543] M SPEAKER_02
[ 00:02:56.695 -->  00:03:12.709] N SPEAKER_02
[ 00:03:12.895 -->  00:03:23.543] O SPEAKER_02
[ 00:03:23.678 -->  00:03:25.163] P SPEAKER_02
[ 00:03:25.197 -->  00:03:40.199] Q SPEAKER_02
[ 00:03:40.536 -->  00:03:41.346] R SPEAKER_02
[ 00:03:42.072 -->  00:03:43.557] S SPEAKER_02
[ 00:03:43.624 -->  00:03:47.269] T SPEAKER_02
[ 00:03:47.775 -->  00:03:50.324] U SPEAKER_02
[ 00:03:50.644 -->  00:03:53.024] V SPEAKER_02
[ 00:03:53.378 -->  00:03:54.812] W SPEAKER_02
[ 00:03:55.386 -->  00:04:00.921] X SPEAKER_02
[ 00:04:01.680 -->  00:04:02.777] Y SPEAKER_02
[ 00:04:02.862 -->  00:04:08.532] Z SPEAKER_02
[ 00:04:09.173 -->  00:04:10.405] AA SPEAKER_02
[ 00:04:10.709 -->  00:04:13.763] AB SPEAKER_02
[ 00:04:14.134 -->  00:04:16.547] AC SPEAKER_02
[ 00:04:17.189 -->  00:04:26.031] AD SPEAKER_02
[ 00:04:26.757 -->  00:04:28.360] AE SPEAKER_02
[ 00:04:28.562 -->  00:04:30.587] AF SPEAKER_02
[ 00:04:30.959 -->  00:04:33.085] AG SPEAKER_02
[ 00:04:33.422 -->  00:04:34.232] AH SPEAKER_02
[ 00:04:34.654 -->  00:04:37.624] AI SPEAKER_02
[ 00:04:38.232 -->  00:04:43.665] AJ SPEAKER_02
[ 00:04:44.037 -->  00:04:52.120] AK SPEAKER_02
[ 00:04:52.778 -->  00:04:54.246] AL SPEAKER_02
[ 00:04:54.449 -->  00:04:56.592] AM SPEAKER_02
[ 00:04:56.862 -->  00:04:59.663] AN SPEAKER_02
[ 00:05:00.000 -->  00:05:02.835] AO SPEAKER_02
[ 00:05:03.443 -->  00:05:06.227] AP SPEAKER_02
[ 00:05:06.869 -->  00:05:08.033] AQ SPEAKER_02
[ 00:05:08.590 -->  00:05:09.383] AR SPEAKER_02
[ 00:05:09.805 -->  00:05:11.729] AS SPEAKER_02
[ 00:05:12.184 -->  00:05:14.817] AT SPEAKER_02
[ 00:05:15.340 -->  00:05:20.250] AU SPEAKER_02
[ 00:05:20.757 -->  00:06:06.252] AV SPEAKER_01
[ 00:06:06.893 -->  00:06:06.927] AW SPEAKER_02
[ 00:06:06.927 -->  00:06:06.944] AX SPEAKER_01
[ 00:06:06.944 -->  00:06:09.357] AY SPEAKER_02
[ 00:06:09.880 -->  00:06:11.955] AZ SPEAKER_02
[ 00:06:12.040 -->  00:06:12.647] BA SPEAKER_02
[ 00:06:12.934 -->  00:06:17.085] BB SPEAKER_02
[ 00:06:17.288 -->  00:06:21.102] BC SPEAKER_02
[ 00:06:21.405 -->  00:06:23.262] BD SPEAKER_02
[ 00:06:23.852 -->  00:06:30.906] BE SPEAKER_02
