[ 00:00:00.469 -->  00:00:01.195] A SPEAKER_01
[ 00:00:01.583 -->  00:00:06.257] B SPEAKER_01
[ 00:00:08.029 -->  00:00:08.316] C SPEAKER_01
[ 00:00:09.244 -->  00:00:09.379] D SPEAKER_01
[ 00:00:09.548 -->  00:00:19.892] E SPEAKER_01
[ 00:00:53.220 -->  00:01:10.602] G SPEAKER_01
[ 00:01:11.007 -->  00:01:26.599] H SPEAKER_01
[ 00:01:26.751 -->  00:01:35.543] I SPEAKER_01
[ 00:01:36.150 -->  00:01:45.229] J SPEAKER_01
[ 00:01:48.317 -->  00:01:50.376] K SPEAKER_01
[ 00:01:50.865 -->  00:01:51.979] L SPEAKER_01
[ 00:01:51.979 -->  00:01:52.030] M SPEAKER_02
[ 00:01:52.030 -->  00:02:09.074] N SPEAKER_01
[ 00:02:09.462 -->  00:02:11.790] O SPEAKER_01
[ 00:02:12.128 -->  00:02:16.836] P SPEAKER_01
[ 00:02:17.275 -->  00:02:27.805] Q SPEAKER_02
[ 00:02:28.176 -->  00:02:31.045] R SPEAKER_02
[ 00:02:31.467 -->  00:02:35.432] S SPEAKER_02
[ 00:02:35.685 -->  00:02:44.494] T SPEAKER_02
[ 00:02:44.714 -->  00:02:48.882] U SPEAKER_02
[ 00:02:49.557 -->  00:02:58.365] V SPEAKER_02
[ 00:02:59.024 -->  00:03:02.685] W SPEAKER_02
[ 00:03:03.479 -->  00:03:04.626] X SPEAKER_02
[ 00:03:05.318 -->  00:03:09.165] Y SPEAKER_02
[ 00:03:09.756 -->  00:03:22.649] Z SPEAKER_02
[ 00:03:23.121 -->  00:03:27.120] AA SPEAKER_02
[ 00:03:27.779 -->  00:03:31.187] AB SPEAKER_02
[ 00:03:31.542 -->  00:03:45.700] AC SPEAKER_02
[ 00:03:46.274 -->  00:03:50.121] AD SPEAKER_02
[ 00:03:50.492 -->  00:03:56.348] AE SPEAKER_02
[ 00:03:57.090 -->  00:04:08.852] AF SPEAKER_02
[ 00:04:09.392 -->  00:04:29.794] AG SPEAKER_01
[ 00:04:30.975 -->  00:04:41.033] AH SPEAKER_01
[ 00:04:41.320 -->  00:04:43.851] AI SPEAKER_01
[ 00:04:44.104 -->  00:04:48.154] AJ SPEAKER_01
[ 00:04:49.049 -->  00:04:52.525] AK SPEAKER_02
[ 00:04:52.829 -->  00:04:58.549] AL SPEAKER_02
[ 00:04:59.106 -->  00:05:08.320] AM SPEAKER_02
[ 00:05:08.759 -->  00:05:13.517] AN SPEAKER_02
[ 00:05:13.855 -->  00:05:24.469] AO SPEAKER_02
[ 00:05:24.840 -->  00:05:31.894] AP SPEAKER_02
[ 00:05:32.620 -->  00:05:40.028] AQ SPEAKER_02
[ 00:05:40.264 -->  00:05:44.719] AR SPEAKER_02
[ 00:05:45.090 -->  00:05:47.605] AS SPEAKER_02
[ 00:05:47.807 -->  00:05:48.820] AT SPEAKER_02
[ 00:05:48.955 -->  00:05:50.339] AU SPEAKER_02
[ 00:05:51.081 -->  00:06:04.109] AV SPEAKER_02
[ 00:06:04.767 -->  00:06:10.133] AW SPEAKER_02
[ 00:06:10.403 -->  00:06:17.254] AX SPEAKER_02
[ 00:06:17.760 -->  00:06:32.121] AY SPEAKER_02
[ 00:06:32.509 -->  00:06:33.336] AZ SPEAKER_02
[ 00:06:34.551 -->  00:06:39.107] BA SPEAKER_02
[ 00:06:39.664 -->  00:06:55.949] BB SPEAKER_02
[ 00:06:56.100 -->  00:07:03.289] BC SPEAKER_02
[ 00:07:03.880 -->  00:07:16.232] BD SPEAKER_02
[ 00:07:16.401 -->  00:07:19.287] BE SPEAKER_02
[ 00:07:19.523 -->  00:07:20.924] BF SPEAKER_02
[ 00:07:21.278 -->  00:07:22.628] BG SPEAKER_02
[ 00:07:22.780 -->  00:07:28.382] BH SPEAKER_02
[ 00:07:28.720 -->  00:07:30.458] BI SPEAKER_02
[ 00:07:30.846 -->  00:07:39.334] BJ SPEAKER_02
[ 00:07:39.739 -->  00:07:40.870] BK SPEAKER_02
[ 00:07:41.477 -->  00:07:44.160] BL SPEAKER_02
[ 00:07:44.295 -->  00:07:56.715] BM SPEAKER_02
[ 00:07:57.036 -->  00:08:02.672] BN SPEAKER_02
[ 00:08:03.465 -->  00:08:05.102] BO SPEAKER_02
[ 00:08:05.609 -->  00:08:07.802] BP SPEAKER_02
[ 00:08:08.224 -->  00:08:24.846] BQ SPEAKER_02
[ 00:08:25.302 -->  00:08:30.432] BR SPEAKER_02
[ 00:08:31.292 -->  00:08:36.422] BS SPEAKER_02
[ 00:08:36.794 -->  00:08:49.669] BT SPEAKER_02
[ 00:08:49.855 -->  00:08:55.474] BU SPEAKER_02
[ 00:08:56.115 -->  00:09:06.882] BV SPEAKER_01
[ 00:09:07.624 -->  00:09:21.394] BW SPEAKER_01
[ 00:09:22.137 -->  00:09:23.250] BX SPEAKER_02
[ 00:09:23.689 -->  00:09:24.634] BY SPEAKER_02
[ 00:09:25.444 -->  00:09:27.284] BZ SPEAKER_02
[ 00:09:27.807 -->  00:09:37.594] CA SPEAKER_02
[ 00:09:37.965 -->  00:09:53.744] CB SPEAKER_02
[ 00:09:54.216 -->  00:09:58.131] CC SPEAKER_02
[ 00:09:58.418 -->  00:10:00.291] CD SPEAKER_02
[ 00:10:00.797 -->  00:10:22.752] CE SPEAKER_02
[ 00:10:23.157 -->  00:10:25.755] CF SPEAKER_02
[ 00:10:26.160 -->  00:10:28.405] CG SPEAKER_02
[ 00:10:28.810 -->  00:10:33.467] CH SPEAKER_02
[ 00:10:33.855 -->  00:10:45.854] CI SPEAKER_02
[ 00:10:46.225 -->  00:10:46.731] CJ SPEAKER_02
[ 00:10:47.288 -->  00:11:04.247] CK SPEAKER_02
[ 00:11:04.619 -->  00:11:27.771] CL SPEAKER_02
[ 00:11:28.142 -->  00:11:28.986] CM SPEAKER_02
[ 00:11:29.543 -->  00:11:47.549] CN SPEAKER_02
[ 00:11:48.274 -->  00:12:00.492] CO SPEAKER_02
[ 00:12:01.032 -->  00:12:19.847] CP SPEAKER_02
[ 00:12:20.421 -->  00:12:23.779] CQ SPEAKER_02
[ 00:12:24.370 -->  00:12:34.427] CR SPEAKER_02
[ 00:12:34.630 -->  00:12:58.727] CS SPEAKER_02
[ 00:12:59.031 -->  00:13:01.950] CT SPEAKER_02
[ 00:13:02.339 -->  00:13:12.750] CU SPEAKER_02
[ 00:13:13.392 -->  00:13:16.682] CV SPEAKER_01
