[ 00:00:00.030 -->  00:00:03.591] A SPEAKER_02
[ 00:00:04.165 -->  00:00:06.679] B SPEAKER_02
[ 00:00:06.814 -->  00:00:17.125] C SPEAKER_02
[ 00:00:50.487 -->  00:00:59.177] F SPEAKER_02
[ 00:00:59.481 -->  00:01:18.904] G SPEAKER_02
[ 00:01:19.461 -->  00:02:08.584] H SPEAKER_02
[ 00:02:08.770 -->  00:02:11.520] I SPEAKER_02
[ 00:02:14.794 -->  00:02:36.124] J SPEAKER_02
[ 00:02:36.563 -->  00:02:38.976] K SPEAKER_01
[ 00:02:39.550 -->  00:02:50.535] L SPEAKER_02
[ 00:02:50.991 -->  00:02:58.754] M SPEAKER_02
[ 00:02:59.445 -->  00:03:17.907] N SPEAKER_01
[ 00:03:18.109 -->  00:03:57.934] O SPEAKER_01
[ 00:03:58.761 -->  00:04:06.000] P SPEAKER_02
[ 00:04:06.304 -->  00:04:14.455] Q SPEAKER_01
[ 00:04:14.995 -->  00:04:24.360] R SPEAKER_01
[ 00:04:25.120 -->  00:04:31.853] S SPEAKER_02
[ 00:04:32.157 -->  00:04:37.304] T SPEAKER_02
[ 00:04:37.945 -->  00:05:09.434] U SPEAKER_01
[ 00:05:09.906 -->  00:05:21.027] X SPEAKER_01
[ 00:05:22.343 -->  00:05:29.852] Y SPEAKER_01
[ 00:05:30.645 -->  00:05:33.329] Z SPEAKER_01
[ 00:05:34.071 -->  00:06:43.410] AA SPEAKER_01
[ 00:06:43.444 -->  00:06:58.328] AB SPEAKER_01
[ 00:06:59.155 -->  00:07:43.992] AC SPEAKER_01
[ 00:07:44.751 -->  00:07:45.696] AD SPEAKER_01
[ 00:07:45.308 -->  00:07:45.443] AE SPEAKER_02
[ 00:07:46.354 -->  00:07:48.801] AF SPEAKER_01
[ 00:07:49.290 -->  00:07:50.607] AG SPEAKER_01
[ 00:07:51.349 -->  00:07:55.686] AH SPEAKER_01
[ 00:07:56.564 -->  00:07:58.065] AI SPEAKER_01
[ 00:07:59.432 -->  00:08:03.516] AJ SPEAKER_01
[ 00:08:04.545 -->  00:08:13.000] AK SPEAKER_01
[ 00:08:13.945 -->  00:08:31.090] AL SPEAKER_01
[ 00:08:32.372 -->  00:08:42.194] AM SPEAKER_02
[ 00:08:42.801 -->  00:08:44.303] AN SPEAKER_02
[ 00:08:44.539 -->  00:08:59.085] AO SPEAKER_02
[ 00:08:59.085 -->  00:09:04.047] AP SPEAKER_01
[ 00:09:04.587 -->  00:09:12.552] AQ SPEAKER_01
[ 00:09:13.446 -->  00:09:14.070] AR SPEAKER_01
[ 00:09:14.408 -->  00:09:34.928] AS SPEAKER_01
[ 00:09:35.991 -->  00:09:45.036] AT SPEAKER_01
[ 00:09:45.525 -->  00:10:08.897] AU SPEAKER_01
[ 00:10:09.690 -->  00:10:44.875] AV SPEAKER_01
[ 00:10:46.022 -->  00:10:46.529] AW SPEAKER_01
[ 00:10:47.912 -->  00:10:58.881] AX SPEAKER_01
[ 00:10:59.472 -->  00:11:05.260] AY SPEAKER_01
[ 00:11:05.817 -->  00:11:28.429] AZ SPEAKER_01
[ 00:11:29.020 -->  00:11:31.146] BA SPEAKER_01
[ 00:11:31.905 -->  00:11:34.302] BB SPEAKER_01
[ 00:11:34.960 -->  00:11:38.689] BC SPEAKER_01
[ 00:11:39.533 -->  00:11:40.562] BD SPEAKER_01
[ 00:11:41.237 -->  00:12:08.457] BE SPEAKER_01
[ 00:12:09.537 -->  00:12:25.602] BF SPEAKER_01
[ 00:12:26.159 -->  00:12:45.126] BG SPEAKER_01
[ 00:12:45.464 -->  00:13:05.427] BH SPEAKER_01
[ 00:13:05.562 -->  00:13:22.977] BI SPEAKER_01
[ 00:13:23.939 -->  00:13:41.505] BJ SPEAKER_02
[ 00:13:42.248 -->  00:13:47.429] BK SPEAKER_01
[ 00:13:47.732 -->  00:13:50.382] BL SPEAKER_01
[ 00:13:50.820 -->  00:14:00.000] BM SPEAKER_01
[ 00:14:00.844 -->  00:14:20.250] BN SPEAKER_01
[ 00:14:21.381 -->  00:14:24.064] BO SPEAKER_01
[ 00:14:24.655 -->  00:14:29.042] BP SPEAKER_01
[ 00:14:29.616 -->  00:14:36.045] BQ SPEAKER_01
[ 00:14:37.480 -->  00:14:50.389] BR SPEAKER_01
[ 00:14:51.216 -->  00:15:11.027] BS SPEAKER_01
[ 00:15:11.567 -->  00:15:14.200] BT SPEAKER_01
[ 00:15:14.976 -->  00:15:17.170] BU SPEAKER_01
[ 00:15:17.625 -->  00:15:54.109] BV SPEAKER_01
