[ 00:00:00.030 -->  00:00:02.055] A SPEAKER_00
[ 00:00:02.055 -->  00:00:02.292] B SPEAKER_02
[ 00:00:02.292 -->  00:00:02.309] C SPEAKER_00
[ 00:00:02.612 -->  00:00:06.595] D SPEAKER_00
[ 00:00:07.253 -->  00:00:07.287] E SPEAKER_00
[ 00:00:08.856 -->  00:00:09.734] G SPEAKER_00
[ 00:00:09.919 -->  00:00:20.230] H SPEAKER_00
[ 00:00:22.474 -->  00:00:22.491] I SPEAKER_00
[ 00:00:53.575 -->  00:01:02.637] K SPEAKER_00
[ 00:01:03.194 -->  00:01:11.429] L SPEAKER_00
[ 00:01:11.749 -->  00:01:18.989] M SPEAKER_00
[ 00:01:19.815 -->  00:01:45.280] N SPEAKER_00
[ 00:01:45.719 -->  00:01:49.009] O SPEAKER_00
[ 00:01:51.929 -->  00:01:57.075] Q SPEAKER_00
[ 00:01:57.362 -->  00:02:00.349] R SPEAKER_02
[ 00:02:01.159 -->  00:02:14.760] S SPEAKER_00
[ 00:02:15.537 -->  00:03:13.317] T SPEAKER_02
[ 00:03:13.874 -->  00:03:57.816] U SPEAKER_02
[ 00:03:57.833 -->  00:04:02.609] V SPEAKER_02
[ 00:03:58.019 -->  00:03:58.272] W SPEAKER_00
[ 00:04:03.250 -->  00:04:29.069] X SPEAKER_00
[ 00:04:29.845 -->  00:04:54.786] Y SPEAKER_00
[ 00:04:55.748 -->  00:05:04.844] Z SPEAKER_02
[ 00:05:05.991 -->  00:05:26.190] AA SPEAKER_02
[ 00:05:26.309 -->  00:05:27.203] AB SPEAKER_02
[ 00:05:27.659 -->  00:05:39.589] AC SPEAKER_02
[ 00:05:40.416 -->  00:06:26.586] AD SPEAKER_02
[ 00:06:27.362 -->  00:06:41.909] AE SPEAKER_02
[ 00:06:41.976 -->  00:07:30.542] AF SPEAKER_02
[ 00:07:31.049 -->  00:07:37.495] AG SPEAKER_00
[ 00:07:38.490 -->  00:07:48.059] AH SPEAKER_00
[ 00:07:48.582 -->  00:07:51.704] AI SPEAKER_02
[ 00:07:52.176 -->  00:08:05.794] AJ SPEAKER_02
[ 00:08:06.554 -->  00:08:12.240] AK SPEAKER_02
[ 00:08:12.494 -->  00:08:15.784] AL SPEAKER_02
[ 00:08:16.240 -->  00:08:17.809] AM SPEAKER_02
[ 00:08:17.978 -->  00:08:21.032] AN SPEAKER_02
[ 00:08:20.509 -->  00:08:20.526] AO SPEAKER_00
[ 00:08:21.285 -->  00:08:23.715] AP SPEAKER_02
[ 00:08:24.154 -->  00:08:24.846] AQ SPEAKER_02
[ 00:08:25.032 -->  00:08:28.407] AR SPEAKER_02
[ 00:08:28.744 -->  00:08:34.920] AS SPEAKER_02
[ 00:08:35.123 -->  00:08:45.417] AT SPEAKER_02
[ 00:08:45.855 -->  00:08:49.517] AU SPEAKER_02
[ 00:08:49.838 -->  00:08:50.462] AV SPEAKER_02
[ 00:08:50.648 -->  00:08:51.728] AW SPEAKER_02
[ 00:08:52.437 -->  00:08:59.204] AX SPEAKER_02
[ 00:08:59.929 -->  00:09:15.944] AY SPEAKER_02
[ 00:09:16.399 -->  00:09:17.800] AZ SPEAKER_02
[ 00:09:18.542 -->  00:09:19.639] BA SPEAKER_02
[ 00:09:20.145 -->  00:09:32.835] BB SPEAKER_02
[ 00:09:33.122 -->  00:09:45.627] BC SPEAKER_02
[ 00:09:46.150 -->  00:09:58.165] BD SPEAKER_02
[ 00:09:58.317 -->  00:10:06.450] BE SPEAKER_02
[ 00:10:06.687 -->  00:10:30.784] BF SPEAKER_02
[ 00:10:30.936 -->  00:10:37.652] BG SPEAKER_02
[ 00:10:37.754 -->  00:10:43.407] BH SPEAKER_02
[ 00:10:43.812 -->  00:10:50.275] BI SPEAKER_00
[ 00:10:50.730 -->  00:11:37.643] BJ SPEAKER_00
[ 00:11:38.014 -->  00:12:05.335] BK SPEAKER_02
[ 00:12:05.504 -->  00:12:11.865] BL SPEAKER_02
[ 00:12:13.080 -->  00:12:23.577] BM SPEAKER_02
[ 00:12:24.015 -->  00:12:29.955] BN SPEAKER_02
[ 00:12:30.124 -->  00:13:16.463] BO SPEAKER_02
[ 00:13:17.037 -->  00:13:18.184] BP SPEAKER_02
[ 00:13:18.606 -->  00:13:27.567] BQ SPEAKER_02
[ 00:13:27.854 -->  00:13:44.290] BR SPEAKER_02
[ 00:13:44.880 -->  00:13:59.342] BS SPEAKER_02
[ 00:13:59.730 -->  00:14:08.725] BT SPEAKER_02
[ 00:14:09.062 -->  00:14:11.222] BU SPEAKER_02
[ 00:14:11.712 -->  00:14:25.769] BV SPEAKER_02
[ 00:14:26.511 -->  00:14:43.470] BW SPEAKER_00
[ 00:14:44.365 -->  00:15:01.695] BX SPEAKER_02
[ 00:15:02.202 -->  00:15:19.971] BY SPEAKER_02
[ 00:15:20.798 -->  00:15:23.093] BZ SPEAKER_02
[ 00:15:23.785 -->  00:15:32.644] CA SPEAKER_02
[ 00:15:33.083 -->  00:15:36.120] CB SPEAKER_02
[ 00:15:36.357 -->  00:16:12.199] CC SPEAKER_02
[ 00:16:12.739 -->  00:16:15.996] CD SPEAKER_02
[ 00:16:16.182 -->  00:16:27.437] CE SPEAKER_02
[ 00:16:27.640 -->  00:16:37.157] CF SPEAKER_02
[ 00:16:37.697 -->  00:16:53.391] CG SPEAKER_02
[ 00:16:53.492 -->  00:17:21.336] CH SPEAKER_02
[ 00:17:21.640 -->  00:17:43.105] CI SPEAKER_02
[ 00:17:43.628 -->  00:17:54.040] CJ SPEAKER_02
[ 00:17:54.360 -->  00:17:57.077] CK SPEAKER_02
[ 00:17:57.280 -->  00:18:03.743] CL SPEAKER_02
[ 00:18:04.654 -->  00:18:05.616] CM SPEAKER_02
[ 00:18:06.510 -->  00:18:10.358] CN SPEAKER_02
[ 00:18:11.016 -->  00:18:22.980] CO SPEAKER_02
[ 00:18:23.841 -->  00:18:26.490] CP SPEAKER_02
[ 00:18:26.794 -->  00:18:30.152] CQ SPEAKER_02
[ 00:18:30.692 -->  00:18:48.327] CR SPEAKER_02
[ 00:18:48.867 -->  00:19:01.388] CS SPEAKER_00
[ 00:19:01.607 -->  00:19:27.662] CT SPEAKER_00
[ 00:19:28.304 -->  00:20:19.131] CU SPEAKER_02
[ 00:20:19.620 -->  00:20:31.534] CV SPEAKER_02
[ 00:20:31.787 -->  00:20:37.778] CW SPEAKER_02
[ 00:20:37.964 -->  00:20:57.792] CX SPEAKER_02
[ 00:20:58.349 -->  00:21:06.280] CY SPEAKER_02
[ 00:21:06.921 -->  00:21:14.498] CZ SPEAKER_02
[ 00:21:14.987 -->  00:21:51.471] DA SPEAKER_02
[ 00:21:52.399 -->  00:22:04.769] DB SPEAKER_00
[ 00:22:06.068 -->  00:22:12.919] DC SPEAKER_00
[ 00:22:13.493 -->  00:22:33.794] DD SPEAKER_02
[ 00:22:34.334 -->  00:22:49.319] DE SPEAKER_02
[ 00:22:50.162 -->  00:22:51.867] DF SPEAKER_02
[ 00:22:52.289 -->  00:23:00.287] DG SPEAKER_02
[ 00:23:00.794 -->  00:23:16.994] DH SPEAKER_02
[ 00:23:17.550 -->  00:23:21.533] DI SPEAKER_02
[ 00:23:22.124 -->  00:23:36.417] DJ SPEAKER_02
[ 00:23:36.923 -->  00:23:40.214] DK SPEAKER_02
[ 00:23:40.990 -->  00:23:45.681] DL SPEAKER_02
[ 00:23:46.052 -->  00:24:00.312] DM SPEAKER_02
[ 00:24:00.615 -->  00:24:05.644] DN SPEAKER_02
[ 00:24:05.931 -->  00:24:13.626] DO SPEAKER_02
[ 00:24:14.841 -->  00:24:40.761] DP SPEAKER_00
[ 00:24:41.436 -->  00:25:30.340] DQ SPEAKER_02
[ 00:25:30.762 -->  00:25:35.217] DR SPEAKER_02
[ 00:25:35.470 -->  00:25:36.330] DS SPEAKER_02
[ 00:25:37.225 -->  00:25:40.954] DT SPEAKER_02
[ 00:25:41.494 -->  00:25:45.510] DU SPEAKER_02
[ 00:25:45.966 -->  00:25:56.395] DV SPEAKER_02
[ 00:25:56.631 -->  00:25:58.791] DW SPEAKER_02
[ 00:25:59.010 -->  00:26:00.040] DX SPEAKER_02
[ 00:26:00.546 -->  00:26:01.727] DY SPEAKER_02
[ 00:26:02.234 -->  00:26:22.129] DZ SPEAKER_02
[ 00:26:22.281 -->  00:26:29.234] EA SPEAKER_02
[ 00:26:29.807 -->  00:26:46.328] EB SPEAKER_00
[ 00:26:47.070 -->  00:27:03.810] EC SPEAKER_00
[ 00:27:04.671 -->  00:27:14.644] ED SPEAKER_02
[ 00:27:14.948 -->  00:27:26.237] EE SPEAKER_02
[ 00:27:26.490 -->  00:27:36.531] EF SPEAKER_02
[ 00:27:37.307 -->  00:27:39.096] EG SPEAKER_02
[ 00:27:39.974 -->  00:27:45.374] EH SPEAKER_02
[ 00:27:45.711 -->  00:27:51.567] EI SPEAKER_02
[ 00:27:51.989 -->  00:27:54.925] EJ SPEAKER_02
[ 00:27:55.347 -->  00:28:02.012] EK SPEAKER_02
[ 00:28:02.468 -->  00:28:26.076] EL SPEAKER_02
[ 00:28:26.785 -->  00:28:49.397] EM SPEAKER_02
[ 00:28:49.769 -->  00:28:51.152] EN SPEAKER_02
[ 00:28:51.810 -->  00:29:00.079] EO SPEAKER_02
[ 00:29:00.299 -->  00:29:13.039] EP SPEAKER_02
[ 00:29:13.883 -->  00:29:23.417] EQ SPEAKER_02
[ 00:29:24.750 -->  00:29:29.678] ER SPEAKER_02
[ 00:29:30.032 -->  00:29:39.702] ES SPEAKER_02
[ 00:29:39.904 -->  00:29:41.018] ET SPEAKER_02
[ 00:29:41.997 -->  00:29:48.679] EU SPEAKER_02
[ 00:29:49.185 -->  00:29:53.539] EV SPEAKER_02
[ 00:29:54.332 -->  00:29:56.712] EW SPEAKER_02
[ 00:29:57.167 -->  00:29:58.197] EX SPEAKER_02
[ 00:29:58.399 -->  00:30:00.610] EY SPEAKER_02
[ 00:30:01.268 -->  00:30:10.600] EZ SPEAKER_02
[ 00:30:11.157 -->  00:30:14.937] FA SPEAKER_02
[ 00:30:15.612 -->  00:30:16.320] FB SPEAKER_02
[ 00:30:16.725 -->  00:30:27.644] FC SPEAKER_02
[ 00:30:28.133 -->  00:30:34.275] FD SPEAKER_02
[ 00:30:34.343 -->  00:30:41.886] FE SPEAKER_02
[ 00:30:42.477 -->  00:30:58.778] FF SPEAKER_02
[ 00:30:59.335 -->  00:31:09.190] FG SPEAKER_02
[ 00:31:09.291 -->  00:31:09.308] FH SPEAKER_02
[ 00:31:09.308 -->  00:31:09.949] FI SPEAKER_00
[ 00:31:10.658 -->  00:31:11.434] FJ SPEAKER_00
[ 00:31:12.075 -->  00:31:24.360] FK SPEAKER_00
[ 00:31:25.052 -->  00:31:49.369] FL SPEAKER_00
[ 00:31:50.027 -->  00:31:54.128] FM SPEAKER_02
[ 00:31:54.702 -->  00:32:13.467] FN SPEAKER_02
[ 00:32:13.787 -->  00:32:22.157] FO SPEAKER_02
[ 00:32:22.664 -->  00:32:28.030] FP SPEAKER_02
[ 00:32:28.165 -->  00:32:34.864] FQ SPEAKER_02
[ 00:32:34.965 -->  00:32:39.117] FR SPEAKER_02
