[ 00:00:00.030 -->  00:00:00.047] A SPEAKER_02
[ 00:00:00.233 -->  00:00:01.060] B SPEAKER_02
[ 00:00:01.161 -->  00:00:02.612] C SPEAKER_02
[ 00:00:03.119 -->  00:00:03.794] D SPEAKER_02
[ 00:00:04.452 -->  00:00:04.519] E SPEAKER_02
[ 00:00:05.025 -->  00:00:07.084] G SPEAKER_02
[ 00:00:07.185 -->  00:00:17.024] H SPEAKER_02
[ 00:00:17.395 -->  00:00:17.547] J SPEAKER_02
[ 00:00:50.841 -->  00:01:06.670] M SPEAKER_02
[ 00:01:06.974 -->  00:01:13.184] N SPEAKER_02
[ 00:01:13.943 -->  00:01:22.431] O SPEAKER_02
[ 00:01:22.769 -->  00:01:32.016] P SPEAKER_02
[ 00:01:32.505 -->  00:01:46.225] Q SPEAKER_02
[ 00:01:49.229 -->  00:02:04.534] R SPEAKER_02
[ 00:02:04.990 -->  00:02:12.854] S SPEAKER_02
[ 00:02:13.444 -->  00:02:23.519] T SPEAKER_02
[ 00:02:23.519 -->  00:02:23.721] U SPEAKER_01
[ 00:02:23.721 -->  00:02:24.025] V SPEAKER_02
[ 00:02:24.025 -->  00:03:04.204] W SPEAKER_01
[ 00:03:04.761 -->  00:03:15.460] X SPEAKER_01
[ 00:03:15.966 -->  00:03:17.249] Y SPEAKER_01
[ 00:03:17.924 -->  00:03:56.095] Z SPEAKER_02
[ 00:03:57.006 -->  00:04:06.557] AA SPEAKER_02
[ 00:04:06.760 -->  00:04:12.059] AB SPEAKER_01
[ 00:04:12.531 -->  00:04:15.349] AC SPEAKER_01
[ 00:04:15.822 -->  00:04:20.057] AD SPEAKER_01
[ 00:04:20.496 -->  00:04:27.786] AE SPEAKER_01
[ 00:04:27.803 -->  00:04:34.823] AF SPEAKER_01
[ 00:04:35.329 -->  00:04:40.611] AG SPEAKER_01
[ 00:04:40.915 -->  00:04:56.693] AH SPEAKER_01
[ 00:04:56.963 -->  00:05:03.375] AI SPEAKER_01
[ 00:05:03.679 -->  00:05:21.634] AJ SPEAKER_01
[ 00:05:22.124 -->  00:05:42.171] AK SPEAKER_01
[ 00:05:42.593 -->  00:06:00.835] AL SPEAKER_01
[ 00:06:01.510 -->  00:06:22.907] AM SPEAKER_01
[ 00:06:23.515 -->  00:06:41.605] AN SPEAKER_02
[ 00:06:42.111 -->  00:06:52.574] AO SPEAKER_01
[ 00:06:52.793 -->  00:06:58.598] AP SPEAKER_01
[ 00:06:59.037 -->  00:07:08.453] AQ SPEAKER_01
[ 00:07:08.774 -->  00:07:11.507] AR SPEAKER_01
[ 00:07:11.642 -->  00:07:49.679] AS SPEAKER_01
[ 00:07:50.354 -->  00:07:55.416] AT SPEAKER_01
[ 00:07:55.754 -->  00:08:11.481] AU SPEAKER_01
[ 00:08:12.240 -->  00:08:38.228] AV SPEAKER_02
[ 00:08:38.802 -->  00:08:58.326] AW SPEAKER_02
