[ 00:00:00.030 -->  00:00:03.456] A SPEAKER_00
[ 00:00:04.182 -->  00:00:05.093] B SPEAKER_00
[ 00:00:05.110 -->  00:00:05.177] D SPEAKER_00
[ 00:00:05.650 -->  00:00:06.713] F SPEAKER_00
[ 00:00:06.899 -->  00:00:17.243] G SPEAKER_00
[ 00:00:50.436 -->  00:00:56.157] J SPEAKER_00
[ 00:00:56.747 -->  00:01:03.059] K SPEAKER_00
[ 00:01:03.210 -->  00:01:12.104] L SPEAKER_00
[ 00:01:12.981 -->  00:01:33.906] M SPEAKER_00
[ 00:01:34.800 -->  00:01:47.423] N SPEAKER_00
[ 00:01:47.946 -->  00:01:48.030] O SPEAKER_00
[ 00:01:49.971 -->  00:01:59.708] P SPEAKER_00
[ 00:02:00.029 -->  00:02:00.957] Q SPEAKER_00
[ 00:02:01.632 -->  00:02:06.374] R SPEAKER_00
[ 00:02:07.251 -->  00:02:21.629] S SPEAKER_00
[ 00:02:22.034 -->  00:02:22.489] T SPEAKER_02
[ 00:02:22.776 -->  00:02:50.316] U SPEAKER_02
[ 00:02:50.856 -->  00:02:54.029] V SPEAKER_02
[ 00:02:54.535 -->  00:03:07.647] W SPEAKER_02
[ 00:03:08.305 -->  00:03:10.043] X SPEAKER_02
[ 00:03:10.296 -->  00:03:15.966] Y SPEAKER_02
[ 00:03:16.236 -->  00:03:25.872] Z SPEAKER_02
[ 00:03:26.699 -->  00:03:39.490] AA SPEAKER_00
[ 00:03:40.047 -->  00:04:00.145] AB SPEAKER_00
[ 00:04:00.735 -->  00:04:05.005] AC SPEAKER_02
[ 00:04:05.055 -->  00:04:22.842] AD SPEAKER_02
[ 00:04:22.977 -->  00:04:23.955] AE SPEAKER_02
[ 00:04:24.614 -->  00:04:44.577] AF SPEAKER_02
[ 00:04:44.644 -->  00:04:45.724] AG SPEAKER_02
[ 00:04:45.944 -->  00:04:51.495] AH SPEAKER_02
[ 00:04:52.002 -->  00:05:01.958] AI SPEAKER_02
[ 00:05:02.262 -->  00:05:03.764] AJ SPEAKER_02
[ 00:05:04.371 -->  00:05:08.472] AK SPEAKER_02
[ 00:05:08.742 -->  00:05:10.024] AL SPEAKER_02
[ 00:05:10.429 -->  00:05:14.614] AM SPEAKER_02
[ 00:05:15.255 -->  00:05:25.397] AN SPEAKER_02
[ 00:05:25.954 -->  00:05:30.460] AO SPEAKER_02
[ 00:05:31.118 -->  00:05:37.851] AP SPEAKER_02
[ 00:05:38.492 -->  00:05:56.194] AQ SPEAKER_02
[ 00:05:56.684 -->  00:05:58.000] AR SPEAKER_02
[ 00:05:58.607 -->  00:06:03.315] AS SPEAKER_02
[ 00:06:04.092 -->  00:06:06.201] AT SPEAKER_02
[ 00:06:06.623 -->  00:06:13.305] AU SPEAKER_02
[ 00:06:13.626 -->  00:06:16.478] AV SPEAKER_02
[ 00:06:17.052 -->  00:06:41.301] AW SPEAKER_02
[ 00:06:42.212 -->  00:06:47.258] AX SPEAKER_00
[ 00:06:47.882 -->  00:07:02.310] AY SPEAKER_00
[ 00:07:02.715 -->  00:07:06.428] AZ SPEAKER_00
[ 00:07:07.069 -->  00:07:14.325] BA SPEAKER_00
[ 00:07:14.832 -->  00:07:17.329] BB SPEAKER_02
[ 00:07:17.954 -->  00:07:51.417] BC SPEAKER_02
[ 00:07:52.075 -->  00:07:59.854] BD SPEAKER_02
[ 00:08:00.377 -->  00:08:08.292] BE SPEAKER_02
[ 00:08:09.000 -->  00:08:09.945] BF SPEAKER_02
[ 00:08:10.013 -->  00:08:16.780] BG SPEAKER_02
[ 00:08:17.573 -->  00:08:24.795] BH SPEAKER_02
[ 00:08:25.133 -->  00:08:36.540] BI SPEAKER_02
[ 00:08:36.827 -->  00:08:55.103] BJ SPEAKER_02
[ 00:08:55.407 -->  00:09:00.115] BK SPEAKER_02
[ 00:09:00.537 -->  00:09:04.637] BL SPEAKER_02
[ 00:09:05.599 -->  00:09:13.547] BM SPEAKER_02
[ 00:09:09.717 -->  00:09:09.750] BN SPEAKER_00
[ 00:09:09.784 -->  00:09:09.970] BO SPEAKER_00
[ 00:09:13.784 -->  00:09:16.399] BP SPEAKER_02
[ 00:09:17.024 -->  00:09:19.234] BQ SPEAKER_02
[ 00:09:19.740 -->  00:09:22.052] BR SPEAKER_02
[ 00:09:22.626 -->  00:09:34.793] BS SPEAKER_02
[ 00:09:35.890 -->  00:09:36.413] BT SPEAKER_02
[ 00:09:36.987 -->  00:09:37.544] BU SPEAKER_02
[ 00:09:37.982 -->  00:09:39.940] BV SPEAKER_02
[ 00:09:40.345 -->  00:09:42.809] BW SPEAKER_02
[ 00:09:43.315 -->  00:09:49.002] BX SPEAKER_02
[ 00:09:49.677 -->  00:09:56.258] BY SPEAKER_02
[ 00:09:57.152 -->  00:09:59.565] BZ SPEAKER_02
[ 00:09:59.903 -->  00:10:19.529] CA SPEAKER_02
[ 00:10:20.187 -->  00:10:25.165] CB SPEAKER_02
[ 00:10:26.177 -->  00:10:34.159] CC SPEAKER_02
[ 00:10:34.480 -->  00:10:38.513] CD SPEAKER_02
[ 00:10:38.850 -->  00:10:41.922] CE SPEAKER_02
[ 00:10:42.614 -->  00:10:50.865] CF SPEAKER_02
[ 00:10:51.490 -->  00:11:19.384] CG SPEAKER_02
[ 00:11:19.975 -->  00:11:32.665] CH SPEAKER_02
[ 00:11:33.509 -->  00:11:37.694] CI SPEAKER_00
[ 00:11:38.065 -->  00:11:47.954] CJ SPEAKER_00
[ 00:11:48.848 -->  00:11:59.159] CK SPEAKER_00
[ 00:11:59.648 -->  00:12:03.175] CL SPEAKER_02
[ 00:12:03.529 -->  00:12:27.795] CM SPEAKER_02
[ 00:12:28.234 -->  00:12:29.820] CN SPEAKER_02
[ 00:12:30.124 -->  00:12:52.737] CO SPEAKER_02
[ 00:12:52.990 -->  00:12:54.660] CP SPEAKER_02
