[ 00:00:00.030 -->  00:00:01.330] A SPEAKER_01
[ 00:00:01.971 -->  00:00:06.274] B SPEAKER_01
[ 00:00:09.548 -->  00:00:19.875] E SPEAKER_01
[ 00:00:53.220 -->  00:00:56.511] H SPEAKER_01
[ 00:00:56.916 -->  00:01:08.526] I SPEAKER_01
[ 00:01:08.880 -->  00:01:30.987] J SPEAKER_01
[ 00:01:31.409 -->  00:01:54.848] K SPEAKER_01
[ 00:01:55.439 -->  00:01:58.510] L SPEAKER_01
[ 00:01:58.915 -->  00:01:59.033] M SPEAKER_01
[ 00:01:59.050 -->  00:01:59.792] N SPEAKER_01
[ 00:02:01.379 -->  00:02:17.781] O SPEAKER_01
[ 00:02:18.389 -->  00:02:25.037] P SPEAKER_02
[ 00:02:25.037 -->  00:02:37.407] Q SPEAKER_01
[ 00:02:37.761 -->  00:08:25.909] R SPEAKER_02
[ 00:08:26.247 -->  00:08:48.488] S SPEAKER_01
[ 00:08:48.825 -->  00:09:52.326] T SPEAKER_02
[ 00:09:53.119 -->  00:10:02.029] U SPEAKER_02
[ 00:10:02.029 -->  00:10:18.465] V SPEAKER_01
[ 00:10:18.904 -->  00:10:24.102] W SPEAKER_02
[ 00:10:24.102 -->  00:11:05.175] X SPEAKER_01
[ 00:11:05.884 -->  00:12:20.202] Y SPEAKER_02
[ 00:12:21.164 -->  00:15:37.437] Z SPEAKER_02
[ 00:15:37.622 -->  00:17:34.077] AA SPEAKER_02
[ 00:17:34.397 -->  00:18:33.848] AB SPEAKER_02
[ 00:18:34.253 -->  00:19:24.456] AC SPEAKER_01
[ 00:19:24.794 -->  00:19:38.547] AD SPEAKER_01
[ 00:19:39.171 -->  00:24:03.096] AE SPEAKER_02
[ 00:24:03.096 -->  00:24:03.197] AF SPEAKER_01
[ 00:24:03.467 -->  00:24:32.324] AG SPEAKER_01
[ 00:24:32.813 -->  00:24:54.582] AH SPEAKER_02
[ 00:24:55.071 -->  00:25:29.479] AI SPEAKER_01
[ 00:25:30.576 -->  00:25:47.519] AJ SPEAKER_02
[ 00:25:47.822 -->  00:25:52.581] AK SPEAKER_02
[ 00:25:53.459 -->  00:25:56.445] AL SPEAKER_02
[ 00:25:56.901 -->  00:27:12.113] AM SPEAKER_02
[ 00:27:12.484 -->  00:27:12.518] AN SPEAKER_02
[ 00:27:12.518 -->  00:27:26.659] AO SPEAKER_01
[ 00:27:27.705 -->  00:32:01.958] AP SPEAKER_02
[ 00:32:01.975 -->  00:32:01.992] AQ SPEAKER_02
[ 00:32:02.194 -->  00:32:02.245] AR SPEAKER_02
[ 00:32:02.245 -->  00:32:25.735] AS SPEAKER_01
[ 00:32:26.680 -->  00:37:56.856] AU SPEAKER_02
[ 00:37:57.345 -->  00:38:01.379] AV SPEAKER_01
[ 00:38:01.615 -->  00:38:16.380] AW SPEAKER_02
[ 00:38:16.380 -->  00:38:20.481] AX SPEAKER_01
[ 00:38:20.852 -->  00:38:28.547] AY SPEAKER_01
[ 00:38:28.817 -->  00:38:48.257] AZ SPEAKER_01
[ 00:38:49.017 -->  00:39:17.654] BA SPEAKER_01
[ 00:39:18.109 -->  00:39:26.985] BB SPEAKER_01
[ 00:39:27.458 -->  00:40:40.206] BC SPEAKER_02
[ 00:40:40.797 -->  00:41:01.688] BD SPEAKER_02
[ 00:41:02.650 -->  00:42:27.987] BE SPEAKER_02
[ 00:42:28.527 -->  00:42:46.414] BF SPEAKER_02
[ 00:42:46.954 -->  00:43:17.009] BG SPEAKER_02
[ 00:43:17.717 -->  00:44:18.282] BH SPEAKER_02
[ 00:44:18.535 -->  00:46:08.020] BI SPEAKER_02
[ 00:46:08.796 -->  00:46:21.368] BJ SPEAKER_02
[ 00:46:22.094 -->  00:46:22.127] BK SPEAKER_02
[ 00:46:22.127 -->  00:46:22.532] BL SPEAKER_01
[ 00:46:22.532 -->  00:46:22.752] BM SPEAKER_02
[ 00:46:22.752 -->  00:46:22.769] BN SPEAKER_01
[ 00:46:22.769 -->  00:46:22.785] BO SPEAKER_02
[ 00:46:23.494 -->  00:46:38.631] BP SPEAKER_01
[ 00:46:39.053 -->  00:46:54.207] BQ SPEAKER_01
[ 00:46:54.477 -->  00:47:01.260] BR SPEAKER_01
[ 00:47:01.750 -->  00:47:05.344] BS SPEAKER_02
[ 00:47:05.513 -->  00:47:07.943] BT SPEAKER_02
[ 00:47:08.365 -->  00:48:00.205] BU SPEAKER_02
[ 00:48:00.644 -->  00:48:18.801] BV SPEAKER_02
[ 00:48:19.206 -->  00:49:08.110] BW SPEAKER_02
[ 00:49:08.481 -->  00:50:40.754] BX SPEAKER_02
[ 00:50:41.007 -->  00:50:41.867] BY SPEAKER_01
[ 00:50:42.053 -->  00:50:47.200] BZ SPEAKER_01
[ 00:50:47.824 -->  00:51:31.125] CA SPEAKER_01
